url,category
https://www.aliexpress.com/item/1005005900784566.html,Electronics
https://www.aliexpress.com/item/1005005897697965.html,Electronics
https://www.aliexpress.com/item/1005005918794566.html,Electronics
https://www.aliexpress.com/item/1005005923456789.html,Home & Office
https://www.aliexpress.com/item/1005005934567890.html,Electronics
https://www.aliexpress.com/item/1005005945678901.html,Home & Office
https://www.aliexpress.com/item/1005005956789012.html,Electronics
https://www.aliexpress.com/item/1005005967890123.html,Electronics
https://www.aliexpress.com/item/1005005978901234.html,Home & Office
https://www.aliexpress.com/item/1005005989012345.html,Home & Office
